Wavelength,Wavenumber,Intensity
251.83884117409121,20910.941185340504,0.12380952380952381
252.37671957185486,20826.313570815284,0.080952380952381
252.91459796961848,20742.045914679766,0.07619047619047625
253.45247636738213,20658.13592521623,0.11190476190476195
253.99035476514575,20574.581330119792,0.03809523809523818
254.5282331629094,20491.379876293206,0.030952380952380953
255.06611156067302,20408.529329644385,0.01904761904761909
255.60398995843667,20326.027474886425,0.0071428571428572285
256.1418683562003,20243.872115340157,0.014285714285714346
256.67974675396397,20162.061072739176,0.03809523809523818
257.2176251517276,20080.59218703735,0.030952380952380953
257.7555035494912,19999.463316218666,0.030952380952380953
258.29338194725483,19918.67233610952,0.004761904761904856
258.8312603450185,19838.21714019333,0.004761904761904856
259.3691387427821,19758.095639427484,0.01904761904761909
259.90701714054575,19678.30576206243,0.0071428571428572285
260.4448955383094,19598.845453463204,0.0
260.98277393607304,19519.712675933035,0.0
261.52065233383667,19440.905408539133,0.0
262.0585307316003,19362.42164694066,0.004761904761904856
262.59640912936396,19284.259403218835,0.004761904761904856
263.1342875271276,19206.416705709053,0.004761904761904856
263.6721659248912,19128.891598835107,0.0
264.2100443226549,19051.68214294542,0.0
264.7479227204185,18974.786414151313,0.0
265.2858011181821,18898.202504167137,0.0
265.82367951594574,18821.928520152476,0.0
266.3615579137094,18745.962584556153,0.0
266.89943631147304,18670.302834962247,0.004761904761904856
267.43731470923666,18594.947423937774,0.009523809523809601
267.97519310700034,18519.894518882407,0.0
268.51307150476396,18445.14230187991,0.0
269.0509499025276,18370.688969551295,0.0
269.5888283002912,18296.532732909873,0.0
270.1267066980549,18222.67181721791,0.0
270.6645850958185,18149.104461845083,0.0
271.2024634935821,18075.828920128566,0.0
271.7403418913458,18002.843459234784,0.0
272.2782202891094,17930.146360022845,0.0
272.81609868687303,17857.735916909536,0.0
273.35397708463665,17785.610437735944,0.0
273.89185548240033,17713.76824363562,0.0
274.42973388016395,17642.207668904375,0.0
274.96761227792757,17570.927060871472,0.0
275.5054906756912,17499.924779772417,0.0
276.04336907345487,17429.199198623253,0.0
276.5812474712185,17358.74870309625,0.0
277.1191258689821,17288.571691397097,0.0
277.6570042667458,17218.666574143477,0.0
278.1948826645094,17149.031774245115,0.0
278.732761062273,17079.665726785155,0.0
279.27063946003665,17010.566878902908,0.0
279.8085178578003,16941.733689678018,0.0
280.34639625556395,16873.164630015905,0.0
280.88427465332757,16804.858182534503,0.0
281.42215305109124,16736.81284145236,0.0
281.96003144885486,16669.027112478005,0.0
282.4979098466185,16601.499512700502,0.0
283.0357882443821,16534.22857048139,0.0
283.5736666421458,16467.212825347706,0.0
284.1115450399094,16400.45082788635,0.0
284.649423437673,16333.941139639559,0.0
285.18730183543664,16267.68233300159,0.0
285.7251802332003,16201.672991116582,0.0
286.26305863096394,16135.911707777595,0.0
286.80093702872756,16070.397087326695,0.0
287.33881542649124,16005.12774455626,0.0
287.87669382425486,15940.102304611348,0.0
288.4145722220185,15875.319402893147,0.0
288.9524506197821,15810.777684963512,0.0
289.4903290175458,15746.475806450595,0.0
290.0282074153094,15682.41243295549,0.004761904761904856
290.566085813073,15618.586239959928,0.0
291.1039642108367,15554.995912734972,0.0
291.6418426086003,15491.6401462508,0.0
292.17972100636393,15428.517645087348,0.0
292.71759940412755,15365.627123346101,0.0
293.25547780189123,15302.967304562706,0.0
293.79335619965485,15240.53692162066,0.0
294.3312345974185,15178.334716665879,0.004761904761904856
294.86911299518215,15116.359441022192,0.0
295.40699139294577,15054.609855107832,0.0
295.9448697907094,14993.084728352762,0.0
296.482748188473,14931.782839116931,0.0
297.0206265862367,14870.70297460942,0.0
297.5585049840003,14809.84393080847,0.0
298.0963833817639,14749.204512382363,0.0
298.6342617795276,14688.783532611138,0.0
299.1721401772912,14628.57981330924,0.0
299.71001857505485,14568.592184748864,0.0
300.24789697281847,14508.81948558423,0.0
300.78577537058214,14449.260562776653,0.0
301.32365376834576,14389.914271520385,0.0
301.8615321661094,14330.779475169249,0.0
302.39941056387306,14271.855045164084,0.0
302.9372889616367,14213.139860960975,0.0
303.4751673594003,14154.632809960196,0.0
304.0130457571639,14096.33278743591,0.0
304.5509241549276,14038.238696466695,0.0
305.0888025526912,13980.349447866713,0.0
305.62668095045484,13922.66396011764,0.0
306.1645593482185,13865.1811593013,0.0
306.70243774598214,13807.899979033078,0.0
307.24031614374576,13750.8193603959,0.0
307.7781945415094,13693.938251875035,0.0
308.31607293927306,13637.255609293505,0.0
308.8539513370367,13580.770395748197,0.0
309.3918297348003,13524.481581546632,0.0
309.929708132564,13468.388144144377,0.0
310.4675865303276,13412.489068083181,0.0
311.0054649280912,13356.783344929627,0.0
311.54334332585483,13301.269973214534,0.0
312.0812217236185,13245.94795837293,0.0
312.61910012138213,13190.81631268467,0.0
313.15697851914575,13135.87405521563,0.0
313.69485691690943,13081.120211759539,0.0
314.23273531467305,13026.553814780407,0.0
314.77061371243667,12972.173903355517,0.0
315.3084921102003,12917.979523119036,0.0
315.84637050796397,12863.969726206156,0.0
316.3842489057276,12810.143571197885,0.0
316.9221273034912,12756.500123066282,0.0
317.4600057012549,12703.038453120356,0.0
317.9978840990185,12649.757638952477,0.0
318.5357624967821,12596.656764385298,0.0
319.07364089454575,12543.734919419261,0.0
319.6115192923094,12490.9912001806,0.0
320.14939769007304,12438.424708869916,0.0
320.68727608783666,12386.034553711179,0.0
321.22515448560034,12333.819848901338,0.0
321.76303288336396,12281.779714560402,0.0
322.3009112811276,12229.913276681993,0.0
322.8387896788912,12178.219667084417,0.0
