Wavelength,Wavenumber,Intensity
251.83884117409121,20910.941185340504,6.064285714285714
252.37671957185486,20826.313570815284,5.973809523809524
252.91459796961848,20742.045914679766,6.080952380952381
253.45247636738213,20658.13592521623,5.938095238095237
253.99035476514575,20574.581330119792,6.104761904761904
254.5282331629094,20491.379876293206,5.983333333333333
255.06611156067302,20408.529329644385,5.752380952380952
255.60398995843667,20326.027474886425,5.628571428571428
256.1418683562003,20243.872115340157,5.595238095238095
256.67974675396397,20162.061072739176,5.688095238095237
257.2176251517276,20080.59218703735,5.414285714285714
257.7555035494912,19999.463316218666,5.18095238095238
258.29338194725483,19918.67233610952,5.05
258.8312603450185,19838.21714019333,4.897619047619047
259.3691387427821,19758.095639427484,4.980952380952381
259.90701714054575,19678.30576206243,4.93095238095238
260.4448955383094,19598.845453463204,4.804761904761905
260.98277393607304,19519.712675933035,4.9452380952380945
261.52065233383667,19440.905408539133,5.09047619047619
262.0585307316003,19362.42164694066,4.866666666666666
262.59640912936396,19284.259403218835,4.728571428571429
263.1342875271276,19206.416705709053,4.59047619047619
263.6721659248912,19128.891598835107,4.6499999999999995
264.2100443226549,19051.68214294542,4.835714285714285
264.7479227204185,18974.786414151313,4.69047619047619
265.2858011181821,18898.202504167137,4.414285714285714
265.82367951594574,18821.928520152476,4.557142857142857
266.3615579137094,18745.962584556153,4.3619047619047615
266.89943631147304,18670.302834962247,4.4190476190476184
267.43731470923666,18594.947423937774,4.461904761904762
267.97519310700034,18519.894518882407,4.25
268.51307150476396,18445.14230187991,4.026190476190476
269.0509499025276,18370.688969551295,4.107142857142857
269.5888283002912,18296.532732909873,4.004761904761905
270.1267066980549,18222.67181721791,4.064285714285714
270.6645850958185,18149.104461845083,3.9595238095238097
271.2024634935821,18075.828920128566,3.864285714285714
271.7403418913458,18002.843459234784,3.84047619047619
272.2782202891094,17930.146360022845,4.019047619047619
272.81609868687303,17857.735916909536,4.011904761904762
273.35397708463665,17785.610437735944,3.7071428571428573
273.89185548240033,17713.76824363562,3.716666666666667
274.42973388016395,17642.207668904375,3.507142857142857
274.96761227792757,17570.927060871472,3.6261904761904757
275.5054906756912,17499.924779772417,3.326190476190476
276.04336907345487,17429.199198623253,3.3238095238095235
276.5812474712185,17358.74870309625,3.4452380952380945
277.1191258689821,17288.571691397097,3.242857142857143
277.6570042667458,17218.666574143477,3.257142857142857
278.1948826645094,17149.031774245115,3.2642857142857142
278.732761062273,17079.665726785155,3.185714285714285
279.27063946003665,17010.566878902908,3.0214285714285714
279.8085178578003,16941.733689678018,2.807142857142857
280.34639625556395,16873.164630015905,2.7976190476190474
280.88427465332757,16804.858182534503,2.8428571428571425
281.42215305109124,16736.81284145236,2.8
281.96003144885486,16669.027112478005,2.807142857142857
282.4979098466185,16601.499512700502,2.7642857142857142
283.0357882443821,16534.22857048139,2.6500000000000004
283.5736666421458,16467.212825347706,2.530952380952381
284.1115450399094,16400.45082788635,2.576190476190476
284.649423437673,16333.941139639559,2.6119047619047615
285.18730183543664,16267.68233300159,2.7095238095238097
285.7251802332003,16201.672991116582,2.621428571428571
286.26305863096394,16135.911707777595,2.564285714285714
286.80093702872756,16070.397087326695,2.4261904761904765
287.33881542649124,16005.12774455626,2.435714285714286
287.87669382425486,15940.102304611348,2.3238095238095235
288.4145722220185,15875.319402893147,2.2261904761904763
288.9524506197821,15810.777684963512,2.2357142857142858
289.4903290175458,15746.475806450595,2.242857142857143
290.0282074153094,15682.41243295549,1.9476190476190476
290.566085813073,15618.586239959928,1.9190476190476191
291.1039642108367,15554.995912734972,1.9928571428571427
291.6418426086003,15491.6401462508,1.9809523809523808
292.17972100636393,15428.517645087348,1.8690476190476188
292.71759940412755,15365.627123346101,1.7142857142857142
293.25547780189123,15302.967304562706,1.6452380952380954
293.79335619965485,15240.53692162066,1.883333333333333
294.3312345974185,15178.334716665879,1.8476190476190475
294.86911299518215,15116.359441022192,1.6023809523809522
295.40699139294577,15054.609855107832,1.6309523809523807
295.9448697907094,14993.084728352762,1.7142857142857142
296.482748188473,14931.782839116931,1.6380952380952378
297.0206265862367,14870.70297460942,1.4999999999999998
297.5585049840003,14809.84393080847,1.319047619047619
298.0963833817639,14749.204512382363,1.1785714285714286
298.6342617795276,14688.783532611138,1.3595238095238094
299.1721401772912,14628.57981330924,1.3547619047619046
299.71001857505485,14568.592184748864,1.3166666666666667
300.24789697281847,14508.81948558423,1.3404761904761904
300.78577537058214,14449.260562776653,1.3071428571428572
301.32365376834576,14389.914271520385,1.042857142857143
301.8615321661094,14330.779475169249,1.023809523809524
302.39941056387306,14271.855045164084,1.088095238095238
302.9372889616367,14213.139860960975,0.9666666666666666
303.4751673594003,14154.632809960196,1.0047619047619045
304.0130457571639,14096.33278743591,1.007142857142857
304.5509241549276,14038.238696466695,0.7761904761904761
305.0888025526912,13980.349447866713,0.726190476190476
305.62668095045484,13922.66396011764,0.55
306.1645593482185,13865.1811593013,0.611904761904762
306.70243774598214,13807.899979033078,0.5166666666666666
307.24031614374576,13750.8193603959,0.5023809523809524
307.7781945415094,13693.938251875035,0.48571428571428577
308.31607293927306,13637.255609293505,0.43333333333333335
308.8539513370367,13580.770395748197,0.40714285714285703
309.3918297348003,13524.481581546632,0.45952380952380945
309.929708132564,13468.388144144377,0.2952380952380951
310.4675865303276,13412.489068083181,0.29761904761904767
311.0054649280912,13356.783344929627,0.44285714285714284
311.54334332585483,13301.269973214534,0.5642857142857143
312.0812217236185,13245.94795837293,0.3928571428571428
312.61910012138213,13190.81631268467,0.33571428571428563
