151.436	97.6961
153.782	54.6173
156.127	12.8959
158.471	94.4164
160.814	305
163.157	27
165.498	211
167.839	281
170.179	15
172.518	-0.00041847
174.856	53.4615
177.193	14.0167
179.53	328
181.865	341
184.2	148
186.533	0.34694
188.866	376
191.198	464
193.529	677
195.859	13
198.189	1827
200.517	2422
202.845	3511
205.171	4738
207.497	6228
209.822	7833
212.146	9019
214.469	1016
216.792	11303
219.113	11949
221.434	12884
223.753	13501
226.072	13113
228.39	12351
230.707	10793
233.024	9141
235.339	7578
237.653	627
239.967	45
242.28	3004
244.592	179
246.903	912
249.213	415
251.522	78.9747
253.831	53.3168
256.138	52.0757
258.445	86.7651
260.751	35.7194
263.056	-9.49742E-05
265.36	-4.47347E-06
267.663	258
269.965	162
272.267	257
274.567	508
276.867	445
279.166	265
281.464	248
283.761	298
286.057	113
288.353	156
290.648	8.38544
292.941	166
295.234	141
297.526	-0.000423751
299.817	-7.72139E-05
302.108	125
304.397	146
306.686	108
308.973	73.4891
311.26	302
313.546	579
315.831	723
318.116	456
320.399	469
322.682	571
324.963	639
327.244	702
329.524	792
331.803	751
334.082	846
336.359	741
338.636	638
340.911	826
343.186	592
345.46	651
347.734	656
350.006	517
352.277	416
354.548	519
356.818	282
359.087	224
361.355	223
363.622	373
365.888	592
368.154	551
370.419	752
372.682	785
374.945	702
377.208	1097
379.469	1488
381.729	1536
383.989	1783
386.248	2256
388.506	2434
390.763	2336
393.019	2477
397.529	2545
399.783	2719
402.035	2936
404.287	3769
406.539	4277
408.789	4407
411.038	419
413.287	3687
415.535	329
417.782	2956
420.028	2728
422.273	2306
424.517	2094
426.761	1928
429.004	1672
433.487	1761
435.727	1845
437.966	1829
440.205	1775
442.443	1724
444.68	1579
449.151	1349
451.385	1145
453.619	1318
455.852	1191
458.083	814
460.314	574
462.545	655
464.774	728
467.003	824
469.23	72
471.457	886
473.683	858
475.908	757
478.133	78
480.356	668
482.579	761
484.801	848
487.022	514
489.242	476
491.462	493
493.68	589
495.898	418
498.115	717
500.331	769
502.546	526
504.761	552
506.974	515
509.187	531
511.399	514
513.61	287
515.82	114
518.03	323
520.238	298
522.446	299
524.653	59
526.859	669
529.065	663
531.269	844
533.473	969
535.676	955
537.878	1157
542.279	1281
544.479	1215
548.876	1026
551.073	1272
553.269	1067
555.465	853
557.659	87
559.853	944
562.046	868
564.238	724
566.43	769
568.62	811
570.81	911
572.999	911
575.187	941
577.374	778
579.561	711
581.747	385
583.932	194
586.116	297
588.299	372
590.481	313
592.663	264
594.844	383
597.024	118
599.203	97.8891
601.381	211
603.559	267
605.735	392
607.911	286
610.086	495
612.261	933
614.434	1621
616.607	3091
618.779	6343
620.95	11402
623.12	12856
627.458	4797
631.793	1441
633.959	1025
636.124	732
638.289	477
640.453	473
642.616	269
644.778	219
646.939	189
649.1	116
651.26	-0.000266333
653.419	12.8274
655.577	152
657.734	277
659.891	335
662.046	85.2188
664.201	119
666.355	189
668.509	24.0984
670.661	78.3543
672.813	167
674.964	74.6365
677.114	173
679.263	19.2993
681.412	80.7177
683.559	178
685.706	29
687.853	226
689.998	5.18807
692.142	8.0033
694.286	27
696.429	487
698.571	64
700.712	738
702.853	686
704.993	88
707.132	95
709.27	87
711.407	869
713.544	727
715.679	737
717.814	637
719.949	984
722.082	1263
724.214	1613
726.346	1802
728.477	1833
730.607	1557
732.737	1613
734.865	1766
736.993	2206
739.12	2581
741.247	3265
743.372	3843
745.497	3846
747.621	3788
749.744	3991
751.866	4313
753.987	4506
758.228	5122
760.347	5367
764.583	5132
766.7	5125
768.816	4993
770.931	4716
773.045	4642
775.159	4683
777.272	4747
781.495	5111
783.606	5929
785.715	6683
787.824	7622
789.932	8503
792.04	8971
794.146	9451
796.252	9851
798.357	9643
800.461	8961
802.565	7728
804.667	6522
806.769	5397
808.87	4647
810.97	4257
813.07	3933
815.169	3597
819.364	2531
821.46	2124
823.556	1944
825.651	1832
827.745	1936
829.838	1841
834.022	2089
836.113	2391
840.293	3091
842.381	3391
844.469	3334
846.556	3155
848.643	2824
850.728	2597
856.98	2273
859.062	1972
861.144	1838
863.225	1909
865.305	1969
869.463	2182
873.618	2114
875.694	2174
877.769	2263
879.844	2077
881.918	1823
883.991	1851
886.064	1897
888.135	1798
890.206	1813
894.346	1925
896.414	1948
900.549	2616
902.615	2876
904.681	3131
906.745	3262
908.809	3188
910.872	2945
912.935	2451
914.997	2121
917.057	1809
919.118	1735
921.177	1506
923.235	1484
925.293	1294
927.35	1346
929.407	1405
931.462	1469
933.517	1285
935.571	1362
937.624	1315
939.677	1316
941.728	1448
943.779	1242
945.83	1336
947.879	1531
949.928	1479
951.976	1377
954.023	1555
956.069	1533
958.115	1708
960.16	1933
962.204	1954
964.247	2193
966.29	2242
968.332	2288
970.373	2333
972.413	2344
974.453	2349
976.492	2743
978.53	3183
980.567	3481
982.604	3906
984.639	4676
986.674	5969
988.709	7884
990.742	10094
992.775	12384
994.807	17258
996.838	29323
998.869	56027
1000.89	89293
1002.92	99933
1004.95	77516
1006.98	44731
1009.01	28617
1011.03	1456
1013.06	7685
1015.08	4825
